Run,Assay Type,AvgSpotLen,LibraryLayout,BioProject,Instrument,Cultivar,Sample Name,Organism,tissue,tissue PO,tissue PO name,Age,stage,stage PO,stage PO name,treatment,environmental ontology,environmental ontology name,replicate,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR045276,RNA-Seq,200,PAIRED,PRJDB4103,Illumina MiSeq,Haruna Nijo,SAMD00040023,Hordeum vulgare subsp. vulgare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR045277,RNA-Seq,299,PAIRED,PRJDB4103,Illumina MiSeq,Haruna Nijo,SAMD00040022,Hordeum vulgare subsp. vulgare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR045278,RNA-Seq,299,PAIRED,PRJDB4103,Illumina MiSeq,Haruna Nijo,SAMD00040024,Hordeum vulgare subsp. vulgare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR045279,RNA-Seq,300,PAIRED,PRJDB4103,Illumina MiSeq,Haruna Nijo,SAMD00040025,Hordeum vulgare subsp. vulgare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR062863,RNA-Seq,180,PAIRED,PRJDB4919,Illumina HiSeq 2000,cer-zv,SAMD00053719,Hordeum vulgare,seedling,PO:0000003,whole plant  ,,seedling having three leaves,PO:0007106, three leaves visible stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR062864,RNA-Seq,180,PAIRED,PRJDB4919,Illumina HiSeq 2000,cer-zv,SAMD00053720,Hordeum vulgare,seedling,PO:0000003,whole plant  ,,seedling having three leaves,PO:0007106, three leaves visible stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR087971,RNA-Seq,300,PAIRED,PRJDB4754,Illumina HiSeq 2500,Foma,SAMD00074917,Hordeum vulgare,immature spikes,PO:0030117,spike inflorescence  ,,awn primodium stage,PO:0001083,inflorescence development stage,Foma_AP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR087972,RNA-Seq,300,PAIRED,PRJDB4754,Illumina HiSeq 2500,Foma,SAMD00074918,Hordeum vulgare,immature spikes,PO:0030117,spike inflorescence  ,,awn primodium stage,PO:0001083,inflorescence development stage,Foma_AP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR087973,RNA-Seq,300,PAIRED,PRJDB4754,Illumina HiSeq 2500,Foma,SAMD00074919,Hordeum vulgare,immature spikes,PO:0030117,spike inflorescence  ,,awn primodium stage,PO:0001083,inflorescence development stage,Foma_AP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR087974,RNA-Seq,300,PAIRED,PRJDB4754,Illumina HiSeq 2500,Foma,SAMD00074920,Hordeum vulgare,immature spikes,PO:0030117,spike inflorescence  ,,awn primodium stage,PO:0001083,inflorescence development stage,Deficiens2_AP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR087975,RNA-Seq,300,PAIRED,PRJDB4754,Illumina HiSeq 2500,Foma,SAMD00074921,Hordeum vulgare,immature spikes,PO:0030117,spike inflorescence  ,,awn primodium stage,PO:0001083,inflorescence development stage,Deficiens2_AP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR087976,RNA-Seq,300,PAIRED,PRJDB4754,Illumina HiSeq 2500,Foma,SAMD00074922,Hordeum vulgare,immature spikes,PO:0030117,spike inflorescence  ,,awn primodium stage,PO:0001083,inflorescence development stage,Deficiens2_AP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR125491,RNA-Seq,200,PAIRED,PRJDB6669,Illumina MiSeq,OUC613,DRS059648,Hordeum vulgare subsp. vulgare,seedling,PO:0000003,whole plant  ,,seedling,PO:0007131,seedling development stage,salt stress,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR125492,RNA-Seq,252,PAIRED,PRJDB6669,Illumina MiSeq,OUE812,DRS059649,Hordeum vulgare subsp. vulgare,seedling,PO:0000003,whole plant  ,,seedling,PO:0007131,seedling development stage,salt stress,EO:0007185,salt treatment  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1189541,RNA-Seq,200,PAIRED,PRJEB12101,Illumina HiSeq 2000,Foma,SAMEA3706964,Hordeum vulgare subsp. vulgare,,PO:0020103,flag leaf,,flag leaf sheath extending,PO:0007018,early boot stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248084,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett YI control 1/2,SAMEA3857507,Hordeum vulgare subsp. vulgare,inflorescences,PO:0009049,inflorescence,,young inflorescences,PO:0001083,Inflorescence development stage,control,EO:0001062,control treatment,control replicate 1/2 lane_sample(6_19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248085,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett YI control 2/2,SAMEA3857508,Hordeum vulgare subsp. vulgare,inflorescences,PO:0009049,inflorescence,,young inflorescences,PO:0001083,Inflorescence development stage,control,EO:0001062,control treatment,control replicate 2/2 lane sample(4_22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248086,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett YI drought 1/2,SAMEA3857509,Hordeum vulgare subsp. vulgare,inflorescences,PO:0009049,inflorescence,,young inflorescences,PO:0001083,Inflorescence development stage,drought,EO:0007404,drought environment,drought replicate 1/2 lane sample(6_18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248087,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett YI drought 2/2,SAMEA3857510,Hordeum vulgare subsp. vulgare,inflorescences,PO:0009049,inflorescence,,young inflorescences,PO:0001083,Inflorescence development stage,drought,EO:0007404,drought environment,drought replicate 2/2 lane sample(5_23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248088,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett YI greenhouse 1/2,SAMEA3857511,Hordeum vulgare subsp. vulgare,inflorescences,PO:0009049,inflorescence,,young inflorescences,PO:0001083,Inflorescence development stage,greenhouse,EO:0007248,green house study,greenhouse replicate 1/2 lane sample(4_6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248089,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett YI greenhouse 2/2,SAMEA3857512,Hordeum vulgare subsp. vulgare,inflorescences,PO:0009049,inflorescence,,young inflorescences,PO:0001083,Inflorescence development stage,greenhouse,EO:0007248,green house study,greenhouse replicate 2/2 lane sample(4_25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248116,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett leaf control 1/3 7_8,SAMEA3857519,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,control,EO:0001062,control treatment,control 1/3 lane_sample(7_8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248117,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett leaf control 2/3 8_12,SAMEA3857520,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,control,EO:0001062,control treatment,control 2/3 lane_sample(8_12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248118,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett leaf control 3/3 5_27,SAMEA3857521,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,control,EO:0001062,control treatment,control 3/3 lane_sample(5_27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248119,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett leaf drought 1/3 8_11,SAMEA3857522,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,drought,EO:0007404,drought environment,drought 1/3 lane_sample(8_11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248120,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett leaf drought 2/3 8_14,SAMEA3857523,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,drought,EO:0007404,drought environment,drought 2/3 lane_sample(8_14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248121,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett leaf drought 3/3 5_22,SAMEA3857524,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,drought,EO:0007404,drought environment,drought 3/3 lane_sample(5_22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248122,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett leaf greenhouse 1/2 7_5,SAMEA3857525,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,greenhouse,EO:0007248,green house study,greenhouse 1/2 lane_sample(7_5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248123,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,Scarlett leaf greenhouse 2/2 3_23,SAMEA3857526,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,greenhouse,EO:0007248,green house study,greenhouse 2/2 lane_sample(3_23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248274,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 YI control 1/2 5_20,SAMEA3857527,Hordeum vulgare subsp. vulgare,inflorescences,PO:0009049,inflorescence,,young inflorescences,PO:0001083,Inflorescence development stage,control,EO:0001062,control treatment,control replicate 1/2 lane_sample(5_20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248275,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 YI control 2/2 6_15,SAMEA3857528,Hordeum vulgare subsp. vulgare,inflorescences,PO:0009049,inflorescence,,young inflorescences,PO:0001083,Inflorescence development stage,control,EO:0001062,control treatment,control replicate 2/2 lane_sample(6_15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248276,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 YI drought 1/2 6_16,SAMEA3857529,Hordeum vulgare subsp. vulgare,inflorescences,PO:0009049,inflorescence,,young inflorescences,PO:0001083,Inflorescence development stage,drought,EO:0007404,drought environment,drought replicate 1/2 lane_sample(6_16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248277,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 YI drought 2/2 4_21,SAMEA3857530,Hordeum vulgare subsp. vulgare,inflorescences,PO:0009049,inflorescence,,young inflorescences,PO:0001083,Inflorescence development stage,drought,EO:0007404,drought environment,drought replicate 2/2 lane_sample(4_21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248278,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 YI greenhouse 1/2 4_4,SAMEA3857531,Hordeum vulgare subsp. vulgare,inflorescences,PO:0009049,inflorescence,,young inflorescences,PO:0001083,Inflorescence development stage,greenhouse,EO:0007248,green house study,greenhouse replicate 1/2 lane_sample(4_4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248279,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 YI greenhouse 2/2 3_21,SAMEA3857532,Hordeum vulgare subsp. vulgare,inflorescences,PO:0009049,inflorescence,,young inflorescences,PO:0001083,Inflorescence development stage,greenhouse,EO:0007248,green house study,greenhouse replicate 2/2 lane_sample(3_21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248280,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 LF control 1/3 4_7,SAMEA3857533,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,control,EO:0001062,control treatment,replicate 1/3 lane_sample(4_7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248281,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 LF control 2/3 7_9,SAMEA3857534,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,control,EO:0001062,control treatment,replicate 2/3 lane_sample(7_9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248282,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 LF control 3/3 8_13,SAMEA3857535,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,control,EO:0001062,control treatment,replicate 3/3 lane_sample(8_13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248283,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 LF drought 1/3 7_10,SAMEA3857536,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,drought,EO:0007404,drought environment,replicate 1/3 lane_sample(7_10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248284,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 LF drought 2/3 4_27,SAMEA3857537,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,drought,EO:0007404,drought environment,replicate 2/3 lane_sample(4_27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248285,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 LF drought 3/3 5_25,SAMEA3857538,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,drought,EO:0007404,drought environment,replicate 3/3 lane_sample(5_25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248286,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 LF greenhouse 1/2 4_3,SAMEA3857539,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,greenhouse,EO:0007248,green house study,replicate 1/2 lane_sample(4_3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1248287,RNA-Seq,202,PAIRED,PRJEB12540,Illumina HiSeq 2000,SBCC073 LF greenhouse 2/2 4_20,SAMEA3857540,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,,PO:0001083,Inflorescence development stage,greenhouse,EO:0007248,green house study,replicate 2/2 lane_sample(4_20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1249546,RNA-Seq,200,PAIRED,PRJEB12639,Illumina Genome Analyzer IIx,SBCC073 Illumina GAIIx,SAMEA3864758,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,after main tiller spike emergence,PO:0007041,inflorescence emergence stage,"vernalized for four weeks (3–8◦C 8 h light) and then transferred into a growth chamber with 16 h light (intensity 250 µmol m−2 s −1 )/8 h dark photoperiod, and controlled temperature (21◦C during the day/18◦C at night). Plants were irrigated, fertilized, and treated with fungicide, using standard procedures",EO:0007199,long day length regimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1249547,RNA-Seq,202,PAIRED,PRJEB12639,Illumina Genome Analyzer IIx,SBCC073 Illumina GAIIx,SAMEA3864758,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,after main tiller spike emergence,PO:0007041,inflorescence emergence stage,"vernalized for four weeks (3–8◦C 8 h light) and then transferred into a growth chamber with 16 h light (intensity 250 µmol m−2 s −1 )/8 h dark photoperiod, and controlled temperature (21◦C during the day/18◦C at night). Plants were irrigated, fertilized, and treated with fungicide, using standard procedures",EO:0007199,long day length regimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1249548,RNA-Seq,200,PAIRED,PRJEB12639,Illumina Genome Analyzer IIx,SBCC073 Illumina GAIIx,SAMEA3864758,Hordeum vulgare subsp. vulgare,leaf,PO:0025034,leaf,,after main tiller spike emergence,PO:0007041,inflorescence emergence stage,"vernalized for four weeks (3–8◦C 8 h light) and then transferred into a growth chamber with 16 h light (intensity 250 µmol m−2 s −1 )/8 h dark photoperiod, and controlled temperature (21◦C during the day/18◦C at night). Plants were irrigated, fertilized, and treated with fungicide, using standard procedures",EO:0007199,long day length regimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366263,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935047,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366264,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935047,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR1366265,RNA-Seq,75,PAIRED,PRJEB13621,Illumina HiSeq 2000,Clipper,SAMEA3935047,Hordeum vulgare,root tip,PO:0000025,root tip  ,3 days,seed germination stage,PO:0007057,seed germination stage,control,EO:0001062,control treatment,,"Protocols: Uniformly sized seeds were selected\, surface-sterilised\, and grown under control (nutrient medium without additional NaCl) and salt-treated (nutrient medium supplemented with 100 mM NaCl) conditions as described in (Shelden et al. 2013). Aft...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
