Dataset name,PMID,Run ID,GSA,NCBI BioProject,SRA Sample ID,BioSample ID,Sample Name/Alias,Batch,Organism,Cultivar,GM,Genotype,Dev stage,Zadok scale of dev,Tissue,Treatment,Instrument,Library layout,PO dev general,PO dev narrow,PO tissue,Metadata,Read length (bp),Download link to all samples in project
pistillody of stamen,32019527,SRR10737427,,PRJNA596597,SRS5860070,SAMN13632079,303-B,1,Triticum aestivum,303-B,wt,303-B,Anther at binucleate stage,,anther,control,Illumina HiSeq 2500,paired,,,,fertile maintainer line,150,https://www.ncbi.nlm.nih.gov/biosample?LinkName=bioproject_biosample_all&from_uid=596597
pistillody of stamen,32019527,SRR10737428,,PRJNA596597,SRS5860068,SAMN13632078,303-B,1,Triticum aestivum,303-B,wt,303-B,Anther at binucleate stage,,anther,control,Illumina HiSeq 2500,paired,,,,fertile maintainer line,150,
pistillody of stamen,32019527,SRR10737429,,PRJNA596597,SRS5860066,SAMN13632077,303-B,1,Triticum aestivum,303-B,wt,303-B,Anther at binucleate stage,,anther,control,Illumina HiSeq 2500,paired,,,,fertile maintainer line,150,
pistillody of stamen,32019527,SRR10737430,,PRJNA596597,SRS5860069,SAMN13632082,C303A,2,Triticum aestivum,C303A,mut,C303A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,CytoplMaleSterile(CMS) line pistillody stamen,150,
pistillody of stamen,32019527,SRR10737431,,PRJNA596597,SRS5860067,SAMN13632081,C303A,2,Triticum aestivum,C303A,mut,C303A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,CytoplMaleSterile(CMS) line pistillody stamen,150,
pistillody of stamen,32019527,SRR10737432,,PRJNA596597,SRS5860065,SAMN13632080,C303A,2,Triticum aestivum,C303A,mut,C303A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,CytoplMaleSterile(CMS) line pistillody stamen,150,
iamsls,31910796,CRR088963,CRA002161,,,SAMC117525,B706,3,Triticum aestivum,B706,wt,B706,Anther at binucleate stage,,anther,control,Illumina HiSeq 2500,paired,,,,fertile maintainer line,,https://bigd.big.ac.cn/gsa/browse/CRA002161
iamsls,31910796,CRR088962,CRA002161,,,SAMC117524,B706,3,Triticum aestivum,B706,wt,B706,Anther at binucleate stage,,anther,control,Illumina HiSeq 2500,paired,,,,fertile maintainer line,,
iamsls,31910796,CRR088961,CRA002161,,,SAMC117523,B706,3,Triticum aestivum,B706,wt,B706,Anther at binucleate stage,,anther,control,Illumina HiSeq 2500,paired,,,,fertile maintainer line,,
iamsls,31910796,CRR088960,CRA002161,,,SAMC117522,U706A,4,Triticum aestivum,U706A,mut,U706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,"Ae. uniaristata cytoplasm, male sterility",,
iamsls,31910796,CRR088959,CRA002161,,,SAMC117521,U706A,4,Triticum aestivum,U706A,mut,U706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,"Ae. uniaristata cytoplasm, male sterility",,
iamsls,31910796,CRR088958,CRA002161,,,SAMC117520,U706A,4,Triticum aestivum,U706A,mut,U706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,"Ae. uniaristata cytoplasm, male sterility",,
iamsls,31910796,CRR088957,CRA002161,,,SAMC117519,C706A,5,Triticum aestivum,C706A,mut,C706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,"Ae. crassa cytoplasm, male sterility",,
iamsls,31910796,CRR088956,CRA002161,,,SAMC117518,C706A,5,Triticum aestivum,C706A,mut,C706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,"Ae. crassa cytoplasm, male sterility",,
iamsls,31910796,CRR088955,CRA002161,,,SAMC117517,C706A,5,Triticum aestivum,C706A,mut,C706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,"Ae. crassa cytoplasm, male sterility",,
iamsls,31910796,CRR088954,CRA002161,,,SAMC117516,Ju706A,6,Triticum aestivum,Ju706A,mut,Ju706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,"Ae. juvenalis cytoplasm, male sterility",,
iamsls,31910796,CRR088953,CRA002161,,,SAMC117515,Ju706A,6,Triticum aestivum,Ju706A,mut,Ju706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,"Ae. juvenalis cytoplasm, male sterility",,
iamsls,31910796,CRR088952,CRA002161,,,SAMC117514,Ju706A,6,Triticum aestivum,Ju706A,mut,Ju706A,Anther at binucleate stage,,anther,mutant,Illumina HiSeq 2500,paired,,,,"Ae. juvenalis cytoplasm, male sterility",,
