Dataset,PMID,Run ID,BioProject_ID,SRA_sample_ID,BioSample_ID,Sample_name,Batch,Organism,Cultivar,GM,Genotype,Dev stage,Zadok_scale,Intermediate_age,High_level_age,Intermediate_tissue,High_level_tissue,Treatment,RNA_extraction,RNA_enrichment,RNA_input (microg),PCR_purification,Growth_condition,Day_night_condition,Temperature_day_night_c,Growth_location,Seq_location,Instrument,Library layout,PO dev general,PO dev narrow,PO tissue,Additional,Read length (bp)
photoperiod_mutant_preanthesis,26307377,ERR781039,PRJEB8748,ERS680781,SAMEA3304876,A_Apex_SD_S42-IL017_W0.5_0DAS_rep1,1,Hordeum vulgare,S42-IL107,wt,PPD-H1,W0.5 – leaf at coleoptile tip,9,Germination,Seedling,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007057,PO:0007045,PO:0000037,biological replication 1.1 harvest time  0 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781040,PRJEB8748,ERS680782,SAMEA3304854,B_Apex_SD_S42-IL017_W0.5_0DAS_rep2,1,Hordeum vulgare,S42-IL107,wt,PPD-H1,W0.5 – leaf at coleoptile tip,9,Germination,Seedling,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007057,PO:0007045,PO:0000037,biological replication 1.2 harvest time  0 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781041,PRJEB8748,ERS680783,SAMEA3304885,C_Apex_SD_S42-IL017_W0.5_0DAS_rep3,1,Hordeum vulgare,S42-IL107,wt,PPD-H1,W0.5 – leaf at coleoptile tip,9,Germination,Seedling,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,8_16,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007057,PO:0007045,PO:0000037,biological replication 1.3 harvest time  0 photoperiod Short Day,100
photoperiod_mutant_preanthesis,26307377,ERR781042,PRJEB8748,ERS680784,SAMEA3304846,D_Apex_LD_Scarlett_W1_3DAS_rep1,2,Hordeum vulgare,Scarlett,mut,ppd-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,apex,meristem,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0000037,biological replication 2.1 harvest time  3 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781043,PRJEB8748,ERS680785,SAMEA3304859,E_Apex_LD_Scarlett_W1_3DAS_rep2,2,Hordeum vulgare,Scarlett,mut,ppd-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,apex,meristem,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0000037,biological replication 2.2 harvest time  3 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781044,PRJEB8748,ERS680786,SAMEA3304878,F_Apex_LD_Scarlett_W1_3DAS_rep3,2,Hordeum vulgare,Scarlett,mut,ppd-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,apex,meristem,mutant,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0000037,biological replication 2.3 harvest time  3 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781045,PRJEB8748,ERS680787,SAMEA3304852,G_Apex_LD_S42-IL017_W1_3DAS_rep1,3,Hordeum vulgare,S42-IL107,wt,PPD-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0000037,biological replication 3.1 harvest time  3 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781046,PRJEB8748,ERS680788,SAMEA3304875,H_Apex_LD_S42-IL017_W1_3DAS_rep2,3,Hordeum vulgare,S42-IL107,wt,PPD-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0000037,biological replication 3.2 harvest time  3 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781047,PRJEB8748,ERS680789,SAMEA3304847,I_Apex_LD_S42-IL017_W1_3DAS_rep3,3,Hordeum vulgare,S42-IL107,wt,PPD-H1,W1.0 transition apex - 1st leaf emergence,11,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007112,PO:0007094,PO:0000037,biological replication 3.3 harvest time  3 photoperiod Long Day,100
photoperiod_mutant_preanthesis,26307377,ERR781048,PRJEB8748,ERS680790,SAMEA3304886,J_Apex_LD_S42-IL017_W2_6DAS_rep1,4,Hordeum vulgare,S42-IL107,wt,PPD-H1,W2.0 early double ridge stage - 1st awn,14,Leaf_development,Vegetative,apex,meristem,control,trizol,Rneasy_microkit_Qiagen,unknown,unknown,incubator,16_8,22_18,Germany,Germany,Illumina HiSeq 2000,single,PO:0007014,PO:0007019,PO:0000037,biological replication 4.1 harvest time  6 photoperiod Long Day,100
